x1,x2,label
-1.03672,1.5524,1
-2.00498,0.32985,1
0.228479,-0.562822,0
0.938799,-0.218772,0
-1.94044,0.135213,1
-0.103343,0.129181,1
-0.0239952,-1.49735,0
-0.596057,-0.953855,1
-0.271062,0.254432,1
-0.337008,-0.665798,1
-1.71766,-0.0266862,1
-1.62126,1.21139,1
-1.1643,-0.37508,1
-0.0827183,1.58289,1
-0.889813,0.412158,0
-0.0356997,0.675925,1
0.65518,-1.16551,0
-0.1304,0.647042,1
0.721572,1.25683,0
0.173624,1.10745,0
0.531745,-1.70608,0
0.625593,0.460307,0
-0.415361,0.412673,1
-0.00589396,2.08544,0
-0.883028,-0.898184,1
-0.463991,0.853209,0
-1.8681,-0.00971357,1
0.019633,1.76626,0
0.202734,-0.821544,0
-0.414082,-0.191355,1
1.39574,0.888419,0
1.51523,0.0868058,0
-0.112085,1.6999,1
-0.110718,0.433702,1
0.829652,-0.379244,0
-1.17452,0.381386,1
0.828277,0.263657,0
-0.716919,0.0262225,1
-1.09143,-1.07394,1
0.488065,0.694115,0
1.61868,-0.460808,0
-2.47133,-1.79984,1
0.936798,0.623347,0
0.543719,-1.99647,0
0.0968135,2.61483,0
-1.36318,-0.787623,1
0.516269,-0.375144,0
-0.902145,0.00751106,0
-2.18963,2.3664,1
-0.0739041,1.39086,1
-1.06427,0.458715,1
-0.245622,-0.368476,1
-0.485503,-0.191761,1
-0.725171,0.273676,1
0.318011,-0.639895,0
0.236781,0.784453,0
0.655275,0.350158,0
-0.704949,0.387544,1
0.062347,-0.112985,0
1.4709,-0.93796,0
-0.183391,-0.323895,1
-0.00870289,-0.570205,1
0.131595,-1.53093,0
-0.532231,0.546533,1
0.435426,-0.236043,0
0.202232,0.454123,0
-0.371804,1.37111,1
-0.72424,-1.05017,1
-0.640152,0.531457,1
0.770745,0.293944,0
0.998309,-0.3119,0
-0.662076,1.84059,1
-1.16436,2.35965,1
-0.749499,-0.917911,1
0.241649,1.87721,0
0.803928,-0.0188835,0
-0.159511,-2.2345,1
0.142894,-1.11536,0
-0.0494025,-0.886596,1
1.34668,0.0993056,0
-1.04845,0.149352,1
-0.400392,-0.286478,1
0.292941,-0.907584,0
-0.0203519,2.89084,1
0.728642,0.396946,0
1.44321,0.098034,1
0.0832907,-0.757731,0
1.23645,1.10582,1
-0.496594,-1.31048,1
-0.574941,-0.762679,1
-1.03416,2.01091,1
-0.959061,0.935475,1
0.0420124,0.492076,0
-1.81275,-0.698389,1
0.515714,1.64789,1
0.0089599,1.81003,0
-0.72224,-0.140154,1
0.559665,0.956892,0
-1.48592,0.452713,1
0.0742122,-0.75383,0
1.43485,1.26044,0
0.0192913,-0.166301,0
0.34202,0.564479,0
-1.44633,0.199028,1
0.182405,1.34566,0
-0.269422,0.249462,1
-1.68248,-0.993889,1
-1.46215,0.823228,1
1.34874,-0.0845723,0
-1.73044,0.511897,1
0.367922,-0.256893,0
0.542113,-0.463988,0
3.41514,-0.614359,0
-0.187086,0.346431,1
0.40947,0.631756,0
1.18408,-0.382741,0
0.912522,-0.393464,0
-0.176343,0.0962311,1
0.364851,-2.27576,0
-0.943535,1.83294,1
-0.025936,0.60803,1
-1.17101,0.699583,0
-0.276069,0.777121,1
-0.250515,1.24657,1
-0.6604,-0.387982,0
-1.38984,1.78267,1
-2.29236,0.0127482,0
-0.13734,-0.228808,0
0.75749,1.6034,0
0.194382,1.24256,0
1.24491,-0.0903606,0
0.360805,-0.456605,0
0.128657,-0.922065,1
0.689954,-2.03858,1
1.06087,-1.27181,0
-2.19988,0.843432,1
-0.631961,1.37055,1
-1.34829,-0.898403,1
-0.177127,-0.947012,1
0.985875,-0.966985,0
0.796929,1.54743,0
-0.903026,-1.20911,1
0.84599,-0.400903,0
-0.216235,0.455059,1
0.805316,-1.85696,0
-1.04386,0.515775,1
-0.648003,-0.174587,1
0.0837936,0.220323,0
-0.164696,-2.30717,1
1.15862,-1.66182,0
0.815136,-1.62607,0
1.38469,-0.0600208,0
0.245964,-0.208975,0
-0.83331,-0.959038,1
-1.38977,-0.0899599,1
-2.72311,0.504552,1
-2.4674,-0.514636,1
-0.577296,2.1375,1
1.29489,0.207792,0
-0.262746,1.07166,0
-0.27071,0.574632,1
0.0197264,-0.593162,0
-0.655308,-0.125713,1
-0.161514,0.259693,1
0.960903,1.2757,0
-0.651976,-0.0390983,1
0.813132,0.70897,0
-1.36905,1.41186,1
-0.944048,-0.355493,0
1.06543,-2.54414,0
0.851405,1.55166,0
1.45881,-0.141962,1
-1.24815,1.80905,1
-0.142113,0.706004,0
-0.442007,0.0659062,1
1.33615,-2.00167,0
-0.894039,1.57273,1
-0.426413,-0.414324,1
0.970657,0.846876,0
0.057618,0.0617063,0
-1.4013,0.268079,1
0.966724,0.301032,0
0.0511089,-1.23294,0
0.68783,-0.255598,1
-0.00917593,1.46169,1
-0.187572,0.428066,1
0.333406,1.18112,0
0.687256,0.742217,0
0.515464,1.0012,0
-0.121093,0.627503,1
-0.859723,1.45882,1
-1.04674,0.389185,1
-0.531647,-0.150629,1
1.07369,-0.173802,0
-0.974106,0.470216,1
0.0419248,1.31354,0
1.81839,0.228797,0
0.57806,1.25045,0
0.179684,-0.195345,0
-0.10487,0.327696,1
0.98092,-0.784096,0
1.31249,-1.33814,0
-0.831297,-1.04694,1
0.113286,0.100801,0
-1.42947,1.6494,1
0.331771,-0.689078,0
0.026166,-1.07881,0
-1.04817,0.0254963,1
-0.583704,-1.09498,1
-2.19936,0.0647909,1
-1.5166,0.247252,1
-0.995779,-1.38362,1
1.39946,-0.299285,0
0.343668,1.34536,1
0.315629,-0.435484,0
-1.54253,0.524829,0
-0.275353,1.90538,1
-0.286828,-0.580886,1
0.121,2.396,0
0.941713,-0.241485,1
0.593633,-2.06518,0
-0.38114,0.81736,1
-0.257027,-0.375038,1
-0.943924,-1.30497,1
0.72284,-1.56117,0
0.0712014,0.654784,0
0.137434,1.67498,0
1.12784,2.09064,0
-0.968555,1.45893,1
-0.0826022,-0.293887,1
0.51922,0.961926,0
1.26352,0.701255,0
1.03044,-1.00578,0
0.857175,-2.88628,1
-0.409956,1.79185,1
-0.468849,-0.323163,1
-0.0680625,-2.0651,1
0.796843,-0.166753,0
-0.623512,-1.39689,1
1.62848,0.780367,0
0.106925,0.385669,0
-0.444922,0.369705,1
-1.70356,0.317883,0
1.59447,-0.41613,0
-0.15342,-0.747896,1
0.0534042,-0.515393,0
2.38274,2.46387,1
0.124854,-0.724344,1
-0.623904,-0.288646,1
-1.51761,-0.193965,1
-0.386895,0.824561,0
0.845598,0.499882,0
1.08407,-0.504086,0
1.34322,-1.08421,0
-0.630247,-1.25582,1
0.624431,-0.153504,0
-1.87293,0.386303,1
-0.363899,-0.817754,1
-1.22632,0.446333,1
-0.175151,0.118888,1
-0.565592,0.787223,1
-1.38911,-0.102441,1
-0.419463,-0.761192,1
2.27233,-1.35934,0
-0.166199,-0.642196,1
1.33035,-0.572856,0
-0.148013,0.349319,1
1.25705,1.82085,0
-0.614501,0.93552,1
-1.03854,0.0535264,1
0.408358,-1.25452,0
0.654133,-0.724987,0
0.364358,-1.86587,0
1.2854,-1.78418,0
-0.651344,0.604394,0
-0.463043,0.83883,1
2.47695,0.264217,0
2.51723,-0.860942,0
1.54388,0.17273,0
-0.6988,0.688723,1
0.259631,-1.50203,0
-0.420119,-1.00055,1
-0.356214,-1.33439,1
-0.462662,0.593197,1
-1.09584,-1.65784,1
0.637643,0.854094,0
-0.472478,1.80285,1
0.568945,-1.19896,0
-0.900447,2.46247,1
-0.0685545,2.89926,1
-0.258759,2.69952,1
-1.30338,0.616432,1
-0.825048,0.294857,1
-0.936349,-0.569767,1
1.38686,-2.1161,0
0.181344,1.93828,0
-0.0668042,2.55188,1
1.00621,-2.21153,0
-0.277805,-0.44756,1
0.739443,0.0119429,0
-0.203276,0.652167,1
0.174902,-2.62367,1
1.01575,-0.979595,0
0.672961,0.477382,0
-0.232684,1.55076,1
0.789629,0.468632,0
-0.335765,0.407843,1
0.221399,0.392138,0
1.68497,-0.458338,0
-0.391296,0.899209,1
-0.650387,0.440722,1
-1.68816,0.702345,1
-1.06325,0.963378,0
-1.37399,-0.428504,1
0.110392,1.34189,0
0.512231,0.15477,0
-1.6213,0.607141,1
0.209238,-0.0976584,0
-1.67763,0.200543,1
-0.371001,-1.08838,1
0.171572,-0.787225,0
-0.996606,0.0433753,1
1.0289,-1.36056,1
-0.174492,0.540129,1
-0.352812,-0.186603,1
0.94034,-1.27579,0
2.37133,-2.64823,0
1.79724,0.395572,0
-0.154303,-0.984369,0
1.58037,-0.591545,0
0.0420828,-0.291976,0
-0.313603,-1.69891,1
0.353814,-1.46442,0
-0.955481,0.273514,1
-2.2837,-1.02376,1
1.45959,0.05858,0
-1.35005,1.5997,1
1.01555,0.62285,0
-0.0636682,-2.0218,1
0.62709,-1.39672,0
0.763994,1.2811,0
0.84436,-0.907405,0
0.0635079,-1.96714,0
0.197369,1.49437,0
-0.350196,0.279021,1
-0.240077,-0.568633,1
-1.27912,-1.816,1
0.422149,-1.21497,0
-1.65059,0.662421,1
0.15629,-2.63776,0
0.533686,-0.942033,0
-1.1765,-2.02014,1
2.06208,-0.254736,0
-1.05559,-0.43761,1
-0.649568,-0.268506,1
-0.255582,0.456635,1
0.445028,1.97031,0
0.191268,1.25652,0
-0.0241482,-1.20217,0
-0.142774,1.02772,0
